,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
nina-ansaroff,,USA,12/3/1985 (33),"5' 5"", 115 lbs",The Strina,"64""",Orthodox,American Top Team,,Women's Strawweight
diego-rivas,,Chile,11/11/1991 (27),"5' 8"", 135 lbs",Pitbull,"69""",Orthodox,Elemental Dojo,,Bantamweight
rodolfo-rubio,,Mexico,1/29/1987 (32),"5' 5"", 145 lbs",Fito,"66""",Orthodox,,,Featherweight
thomas-almeida,,Brazil,7/31/1991 (28),"5' 7"", 135 lbs",Thominhas,"70""",Southpaw,Chute Boxe,,Bantamweight
augusto-montano,,Mexico,10/25/1984 (34),"6' 2"", 170 lbs",Dodger,"73""",Orthodox,Jackson-Wink MMA,,Welterweight
hector-urbina,,,,,,,,,,
yair-rodriguez,,Mexico,10/6/1992 (27),"5' 11"", 145 lbs",El Pantera,"71""",Orthodox,Valle Flow Striking,,Featherweight
leonardo-morales,,Nicaragua,12/22/1992,,Chimmy,"68""",Southpaw,,,Bantamweight
alejandro-perez,,Mexico,9/2/1989 (30),"5' 6"", 135 lbs",Turbo,"67""",Orthodox,AKA (American Kickboxing Academy),,Bantamweight
jose-quinonez,,Mexico,7/28/1990 (29),"5' 8"", 135 lbs",Teco,"69""",Orthodox,Alliance MMA,,Bantamweight
gabriel-benitez,,Mexico,6/15/1988 (31),"5' 8"", 145 lbs",Moggly,"71""",Southpaw,AKA (American Kickboxing Academy),,Featherweight
humberto-brown,,Panama,11/3/1984,,,"71""",,,,Featherweight
henry-briones,,Mexico,10/22/1980 (38),"5' 7"", 135 lbs",Bure,"69""",,Entram Gym,,Bantamweight
guido-cannetti,,Argentina,12/19/1979 (39),"5' 6"", 135 lbs",Ninja,"68""",Southpaw,Our Town MMA,,Bantamweight
marlon-vera,,Ecuador,12/2/1992 (26),"5' 8"", 135 lbs",Chito,"70.5""",Switch,Team Oyama,,Bantamweight
marco-beltran,,Mexico,5/18/1986 (33),"5' 8"", 125 lbs",Psycho,"69.5""",Orthodox,Invictus MMA,,Flyweight
josh-copeland,,USA,,"6' 1"", 260 lbs",Cuddly Bear,"75""",Orthodox,Grudge Training Center,,Heavyweight
paige-vanzant,,USA,3/26/1994 (25),"5' 4"", 125 lbs",12 Gauge,"65""",Orthodox,American Top Team Portland,,Women's Flyweight
kailin-curran,,USA,4/11/1991 (28),"5' 3"", 115 lbs",,"65""",Orthodox,Reign MMA,,Women's Strawweight
dooho-choi,,Korea,4/10/1991 (28),"5' 9"", 145 lbs",The Korean Superboy,"70""",Orthodox,Busan Team M.A.D.,,Featherweight
justin-jones,,USA,9/6/1987 (32),"5' 11"", 185 lbs",Lazy Bones,,Orthodox,Victory MMA,,
ashlee-evans-smith,,USA,7/9/1987 (32),"5' 8"", 125 lbs",Rebel Girl,"67""",Orthodox,Reign MMA,,Women's Flyweight
carla-esparza,,USA,10/10/1987 (32),"5' 1"", 115 lbs",Cookie Monster,"63""",Orthodox,Team Oyama,,Women's Strawweight
rose-namajunas,,USA,6/29/1992 (27),"5' 5"", 115 lbs",Thug,"65""",Orthodox,Genesis Training Center,,Women's Strawweight
jessica-penne,,USA,1/30/1983 (36),"5' 5"", 115 lbs",,"67""",,Alliance MMA,,Women's Strawweight
randa-markos,,Canada,8/10/1985 (34),"5' 4"", 115 lbs",Quiet Storm,"63.5""",Orthodox,Michigan Top Team,,Women's Strawweight
felice-herrig,,USA,9/18/1984 (35),"5' 4"", 115 lbs",Lil Bulldog,"65""",Orthodox,Team Curran,,Women's Strawweight
lisa-ellis,,USA,11/15/1982 (36),"5' 4"", 105 lbs",,"62""",,United Training Center,,Women's Strawweight
bec-rawlings,,Australia,2/11/1989 (30),"5' 6"", 125 lbs",Rowdy,"64""",Orthodox,,,
heather-clark,,USA,9/19/1980 (39),"5' 6"", 115 lbs",Hurricane,"64.5""",,Syndicate MMA,,Women's Strawweight
seo-hee-ham,,Korea,3/8/1987 (32),"5' 2"", 105 lbs",,"62""",Southpaw,Busan Team M.A.D.,,Women's Strawweight
joanne-calderwood,,Scotland,12/23/1985 (33),"5' 6"", 125 lbs",JoJo,"65.5""",Orthodox,Syndicate MMA,,Women's Flyweight
angela-magana,,USA,8/2/1983 (36),"5' 4"", 115 lbs",Your Majesty,"65""",,,,Women's Strawweight
tecia-torres,,USA,8/16/1989 (30),"5' 1"", 115 lbs",The Tiny Tornado,"60.5""",Orthodox,American Top Team,,Women's Strawweight
aisling-daly,,Ireland,12/24/1987 (31),"5' 3"", 115 lbs",Ais The Bash,"64""",,,,Women's Strawweight
alex-chambers,,Australia,10/25/1978 (40),"5' 3"", 115 lbs",Astro Girl,"63""",,American Top Team,,Women's Strawweight
emily-kagan,,USA,7/14/1981 (38),"5' 3"", 115 lbs",,"66""",,,,Women's Strawweight
angela-hill,,USA,1/12/1985 (34),"5' 3"", 115 lbs",Overkill,"64.5""",Orthodox,Alliance MMA,,Women's Strawweight
willie-gates,,USA,1/21/1987 (32),"5' 8"", 125 lbs",Whoop Ass,"70""",Orthodox,,,Flyweight
bryan-barberena,,USA,5/3/1989 (30),"6' 0"", 170 lbs",Bam Bam,"72.5""",Southpaw,MMA LAB,,Welterweight
henry-cejudo,,USA,2/9/1987 (32),"5' 4"", 135 lbs",The Messenger,"64""",Orthodox,Fight Ready,,Flyweight
anthony-birchak,,USA,5/16/1986 (33),"5' 8"", 135 lbs",El Toro,"69""",Orthodox,APEX MMA,,Bantamweight
antonio-dos-santos,,Brazil,7/21/1988,,Junior Alpha,"72""",Orthodox,Champion Team,,Middleweight
renato-moicano,,Brazil,5/21/1989 (30),"5' 11"", 145 lbs",Moicano,"72""",Orthodox,Constrictor Team,,Featherweight
jake-collier,,USA,10/25/1988 (30),"6' 3"", 205 lbs",The Prototype,"78.5""",Orthodox,No Excuses MMA,,Light Heavyweight
cody-garbrandt,,USA,7/7/1991 (28),"5' 8"", 135 lbs",No Love,"65.5""",Orthodox,Team Alpha Male,,Bantamweight
jared-cannonier,,USA,3/16/1984 (35),"5' 11"", 185 lbs",Tha Killa Gorilla,"77.5""",Switch,MMA LAB,,Light Heavyweight
marion-reneau,,USA,6/20/1977 (42),"5' 6"", 135 lbs",The Belizean Bruiser,"68""",Orthodox,,,Women's Bantamweight
ron-stallings,,USA,2/25/1983 (36),"6' 0"", 185 lbs",The Choir Boy,"75""",Southpaw,,,Middleweight
frankie-perez,,USA,5/11/1989 (30),"5' 11"", 155 lbs",,"73""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Lightweight
sultan-aliev,,Russia,9/17/1984 (35),"5' 11"", 170 lbs",,"74.5""",Orthodox,American Top Team,,Welterweight
makwan-amirkhani,,Finland,11/8/1988 (30),"5' 10"", 145 lbs",Mr. Finland,"72""",Southpaw,SBG Ireland,,Featherweight
anthony-christodoulou,,Greece,7/30/1987 (32),"5' 9"", 155 lbs",,"72""",Orthodox,Renzo Gracie Jiu-Jitsu,,Lightweight
paul-redmond,,Ireland,10/20/1986 (33),"5' 10"", 155 lbs",Redser,"70""",Orthodox,,,Featherweight
konstantin-erokhin,,Russia,1/2/1983 (36),"5' 11"", 205 lbs",The Russian Bear,"73""",Orthodox,,,Heavyweight
cody-pfister,,USA,7/12/1990 (29),"5' 10"", 155 lbs",The First,"73""",Orthodox,,,Lightweight
holly-holm,,USA,10/17/1981 (38),"5' 8"", 135 lbs",The Preacher's Daughter,"69""",Southpaw,Jackson-Wink MMA,,Women's Featherweight
masio-fullen,,Mexico,10/6/1986 (33),"5' 10"", 145 lbs",,"70""",Orthodox,,,Featherweight
alex-torres,,,,,,,,,,
joe-duffy,,Ireland,2/18/1988 (31),"5' 10"", 155 lbs",Irish,"73""",Orthodox,The MMA Clinic,,Lightweight
alex-oliveira,,Brazil,2/21/1988 (31),"5' 11"", 170 lbs",Cowboy,"76.5""",Orthodox,Tata Fight Team,,Welterweight
fredy-serrano,,Colombia,9/22/1979 (40),"5' 3"", 125 lbs",El Profe,"65.5""",Orthodox,,,Flyweight
bentley-syler,,Bolivia,12/22/1982,,,"68""",Orthodox,American Top Team,,Flyweight
julianna-pena,,USA,8/19/1989 (30),"5' 6"", 135 lbs",The Venezuelan Vixen,"69""",,Sikjitsu,,Women's Bantamweight
shamil-abdurakhimov,,Russia,9/2/1981 (38),"6' 3"", 257 lbs",Abrek,"76""",Orthodox,Peresvet FT,,Heavyweight
timothy-johnson,,USA,3/13/1985 (34),"6' 3"", 265 lbs",,"77.5""",Southpaw,Academy of Combat Arts,,Heavyweight
maryna-moroz,,Sweden,9/8/1991 (28),"5' 7"", 125 lbs",Iron Lady,"67""",Orthodox,YK Promotion,,Women's Flyweight
bartosz-fabinski,,Poland,4/26/1986 (33),"6' 0"", 170 lbs",The Butcher,"75""",Orthodox,,,Middleweight
garreth-mclellan,,South Africa,1/9/1982 (37),"6' 0"", 185 lbs",Soldier Boy,"72""",Southpaw,,,Middleweight
mickael-lebout,,France,8/16/1987 (32),"5' 11"", 155 lbs",Ragnar,"73""",Orthodox,Crossfight,,Lightweight
damian-stasiak,,Poland,2/20/1990 (29),"5' 8"", 135 lbs",Webster,"70""",Orthodox,United Gym,,Bantamweight
alexandra-albu,,Russia,7/14/1990 (29),"5' 2"", 115 lbs",Stitch,"63""",Orthodox,Red Fury Fight Team,,Women's Strawweight
izabela-badurek,,Poland,7/11/1991 (28),"5' 4"", 115 lbs",,,Orthodox,,,Women's Strawweight
stevie-ray,,Scotland,3/25/1990 (29),"5' 10"", 155 lbs",Braveheart,"70""",Southpaw,Higher Level Martial Arts,,Lightweight
rocky-lee,,Taiwan,4/8/1987 (32),"5' 9"", 145 lbs",,"68""",Orthodox,,,Featherweight
taylor-lapilus,,France,4/8/1992 (27),"5' 6"", 135 lbs",Double Impact,"73""",Southpaw,,,Bantamweight
shane-campbell,,Canada,1/21/1988 (31),"6' 0"", 155 lbs",Shaolin,"71""",Orthodox,,,Lightweight
jessica-rakoczy,,Canada,4/14/1977,,Ragin,"68""",Orthodox,,,Women's Strawweight
jonavin-webb,,USA,4/28/1989 (30),"5' 10"", 170 lbs",Spyder,"71""",Orthodox,Renzo Gracie Philly,,Welterweight
ben-nguyen,,USA,8/3/1988 (31),"5' 5"", 135 lbs",10,"65""",Switch,Integrated MMA,,Flyweight
levan-makashvili,,USA,1/7/1989 (30),"5' 8"", 145 lbs",The Hornet,"68.5""",Orthodox,,,Featherweight
leo-kuntz,,USA,10/3/1983 (36),"5' 10"", 155 lbs",The Lion,"74""",Orthodox,,,
islam-makhachev,,Russia,10/27/1991 (27),"5' 10"", 155 lbs",,"70.5""",Orthodox,FightSpirit Team,,Lightweight
darren-till,,England,12/24/1992 (26),"6' 0"", 185 lbs",The Gorilla,"74.5""",Southpaw,Team Kaobon,,Welterweight
nicolas-dalby,,,,,,,,,,
elizeu-zaleski-dos-santos,,Brazil,12/11/1986 (32),"5' 11"", 170 lbs",Capoeira,"73""",Orthodox,CM System,,Welterweight
ericka-almeida,,Brazil,3/5/1989 (30),"5' 5"", 115 lbs",,"68.5""",,Academy Octavio Almeida,,Women's Strawweight
tom-breese,,England,9/26/1991 (28),"6' 3"", 185 lbs",,"73.5""",Southpaw,TriStar Gym,,Middleweight
steve-kennedy,,Australia,3/7/1983 (36),"6' 0"", 170 lbs",The Steamrolla,"71""",Orthodox,,,Welterweight
lukasz-sajewski,,Poland,11/27/1990 (28),"5' 8"", 155 lbs",Wookie,"71.5""",Orthodox,,,Lightweight
arnold-allen,,England,1/22/1994 (25),"5' 8"", 145 lbs",Almighty,"70""",Southpaw,BKK Fighters,,Featherweight
magomed-mustafaev,,Russia,8/2/1988 (31),"5' 8"", 155 lbs",,"71""",Orthodox,American Top Team,,Lightweight
steve-bosse,,Canada,7/29/1981 (38),"5' 11"", 205 lbs",The Boss,"72""",Orthodox,TriStar Gym,,Light Heavyweight
joe-merritt,,USA,3/7/1984 (35),"6' 1"", 170 lbs",Joey Slash,"73""",Orthodox,Millennia MMA,,
lewis-gonzalez,,USA,9/19/1987 (32),"5' 10"", 170 lbs",Lethal,"73""",Orthodox,MMAGold Fight Team,,
steve-montgomery,,USA,12/19/1990 (28),"6' 4"", 185 lbs",The Creepy Weasel,"75""",Southpaw,,,Middleweight
tony-sims,,USA,10/14/1985 (34),"5' 11"", 155 lbs",,"70""",Southpaw,Elevation Fight Team,,Lightweight
sirwan-kakai,,Sweden,10/3/1989 (30),"5' 6"", 135 lbs",Zohan,"66.5""",Orthodox,American Top Team,,Bantamweight
hayder-hassan,,USA,10/20/1982 (37),"5' 10"", 170 lbs",Hulk,"70""",,American Top Team,,Welterweight
kamaru-usman,,Nigeria,5/11/1987 (32),"6' 0"", 170 lbs",Nigerian Nightmare,"76""",Switch,Hard Knocks 365,,Welterweight
vicente-luque,,Brazil,11/27/1991 (27),"5' 11"", 170 lbs",The Silent Assassin,"75.5""",Orthodox,Hard Knocks 365,,Welterweight
michael-graves,,USA,1/8/1991 (28),"5' 10"", 170 lbs",,"71""",,American Top Team,,Welterweight
michelle-waterson,,USA,1/6/1986 (33),"5' 3"", 115 lbs",The Karate Hottie,"62""",Orthodox,Jackson-Wink MMA,,Women's Strawweight
dominic-waters,,USA,4/11/1989 (30),"6' 1"", 170 lbs",Shonuff,"79""",Orthodox,Nor-Cal Fighting Alliance,,Welterweight
lyman-good,,USA,5/26/1985 (34),"6' 0"", 170 lbs",Cyborg,"74""",Orthodox,Team Tiger Schulman,,Welterweight
cortney-casey,,USA,5/5/1987 (32),"5' 7"", 115 lbs",Cast Iron,"67""",Orthodox,Sanchez BJJ and Finess,,Women's Strawweight
teemu-packalen,,Finland,5/22/1987 (32),"6' 1"", 155 lbs",Pacu,"75.5""",Orthodox,Finnfighters Gym,,Lightweight
jimmie-rivera,,Puerto Rico,6/29/1989 (30),"5' 4"", 135 lbs",El Terror,"68.5""",Orthodox,Team Tiger Schulman,,Bantamweight
chris-de-la-rocha,,USA,5/15/1979 (40),"6' 3"", 243 lbs",,"80.3""",Orthodox,Forge Combat Academy,,Heavyweight
andrew-holbrook,,USA,2/6/1986 (33),"5' 11"", 155 lbs",,"70""",Southpaw,Indy Boxing & Grappling,,Lightweight
dominique-steele,,USA,1/25/1988 (31),"5' 10"", 170 lbs",Non-Stop Action Packed,"74""",Orthodox,Team Vision,,Welterweight
fernando-bruno,,Brazil,2/24/1982 (37),"5' 6"", 145 lbs",Acougueiro,"70""",,,,Featherweight
glaico-franca,,Brazil,2/28/1991 (28),"6' 0"", 170 lbs",Brazilian Zombie,"77""",,Astra Fight Team,,Lightweight
reginaldo-vieira,,Brazil,11/26/1982 (36),"5' 7"", 135 lbs",,"65""",,,,Bantamweight
dileno-lopes,,Brazil,9/26/1984 (35),"5' 5"", 135 lbs",,"65.5""",,Nova Uniao,,Bantamweight
jessica-aguilar,,USA,5/8/1982 (37),"5' 3"", 115 lbs",Jag,"63""",Orthodox,American Top Team,,Women's Strawweight
geane-herrera,,USA,5/27/1990 (29),"5' 5"", 125 lbs",The Revolutionary,"66""",Orthodox,,,Flyweight
oluwale-bamgbose,,USA,8/4/1987 (32),"5' 11"", 185 lbs",Holy War Angel,"78""",Switch,,,Middleweight
jonathan-wilson,,USA,7/17/1987 (32),"6' 2"", 185 lbs",Jonny Bravo,"75""",Southpaw,Millennia MMA,,Middleweight
scott-holtzman,,USA,9/30/1983 (36),"5' 9"", 155 lbs",Hot Sauce,"69""",Orthodox,Shield Systems MMA,,Lightweight
misha-cirkunov,,Latvia,2/27/1987 (32),"6' 3"", 205 lbs",,"77""",Orthodox,Xtreme Couture,,Light Heavyweight
daniel-jolly,,USA,9/3/1984 (35),"6' 1"", 205 lbs",Werewolf of Texas,"75""",Orthodox,,,Light Heavyweight
nazareno-malegarie,,Argentina,5/16/1986 (33),"5' 8"", 145 lbs",,"70""",,Team Tavares,,Lightweight
joaquim-silva,,Brazil,2/5/1989 (30),"5' 8"", 155 lbs",Netto BJJ,"69""",Southpaw,Evolucao Thai,,Lightweight
sage-northcutt,,USA,3/1/1996 (23),"6' 0"", 170 lbs",Super,"71.5""",Orthodox,Team Alpha Male,,Welterweight
matheus-nicolau,,,,,,,,,,
bruno-korea,,Brazil,6/28/1991 (28),"5' 6"", 125 lbs",,"65.5""",,,,Bantamweight
anton-zafir,,Australia,5/10/1987 (32),"5' 11"", 170 lbs",,"72""",Orthodox,,,Welterweight
erick-montano,,Mexico,11/19/1985 (33),"6' 0"", 170 lbs",Perry,"73""",Orthodox,,,Welterweight
enrique-marin,,Spain,9/2/1986 (33),"5' 10"", 155 lbs",Wasabi,"74""",,,,Welterweight
enrique-barzola,,Peru,4/28/1989 (30),"5' 7"", 145 lbs",El Fuerte,"70""",Orthodox,Pitbull Brothers,,Featherweight
horacio-gutierrez,,Mexico,9/15/1990 (29),"5' 10"", 145 lbs",The Punisher,"69""",,Chicago Fight Team,,Featherweight
vernon-ramos,,Panama,6/3/1992 (27),"5' 9"", 170 lbs",,"72""",Orthodox,,,Welterweight
alvaro-herrera,,Mexico,5/14/1990 (29),"6' 0"", 155 lbs",Chango,"74""",,Jackson-Wink MMA,,Welterweight
cesar-arzamendia,,Paraguay,1/31/1991 (28),"5' 11"", 155 lbs",Goku,"71""",,,,Lightweight
polo-reyes,,Mexico,11/7/1984 (34),"5' 11"", 145 lbs",El Toro,"71""",,Entram Gym,,Lightweight
alex-morono,,USA,8/16/1990 (29),"5' 11"", 170 lbs",The Great White,"72""",Orthodox,Fortis MMA,,Welterweight
justine-kish,,USA,4/13/1988 (31),"5' 5"", 125 lbs",,"64""",Orthodox,Black House,,Women's Flyweight
mehdi-baghdad,,France,4/13/1985 (34),"6' 1"", 155 lbs",The Sultan,"75""",Orthodox,Black House,,Lightweight
luke-sanders,,USA,12/12/1985 (33),"5' 6"", 135 lbs",Cool Hand,"67""",Southpaw,Nashville MMA,,Bantamweight
kyle-bochniak,,USA,2/5/1987 (32),"5' 7"", 145 lbs",Crash,"70""",Orthodox,Broadway Jiu-Jitsu,,Featherweight
joey-gomez,,USA,7/21/1986 (33),"5' 10"", 135 lbs",KO King,"71""",Orthodox,Team Triumph,,Bantamweight
elvis-mutapcic,,,,,,,,,,
randy-brown,,Jamaica,7/8/1990 (29),"6' 3"", 170 lbs",Rudeboy,"78""",Orthodox,Budokan Martial Arts Academy,,Welterweight
felipe-olivieri,,Brazil,4/12/1985 (34),"5' 9"", 155 lbs",,"72""",Orthodox,Nova Uniao,,Lightweight
alex-nicholson,,USA,5/2/1990 (29),"6' 4"", 215 lbs",The Spartan,"81""",Orthodox,American Top Team,,Middleweight
damian-grabowski,,Poland,5/12/1980 (39),"6' 1"", 241 lbs",The Polish Pitbull,"75""",Orthodox,Lutadores Opole,,Heavyweight
mike-jackson,,USA,3/22/1985 (34),"6' 2"", 170 lbs",The Truth,,Orthodox,4oz Fight Club,,Welterweight
mickey-gall,,USA,1/22/1992 (27),"6' 2"", 170 lbs",,"74""",Switch,Miller Brothers MMA,,Welterweight
artem-lobov,,Ireland,8/11/1986 (33),"5' 9"", 145 lbs",The Russian Hammer,"65""",Southpaw,SBG Ireland,,Featherweight
augusto-mendes,,Brazil,3/3/1983 (36),"5' 6"", 135 lbs",Tanquinho,"65""",Orthodox,MMA LAB,,Bantamweight
leonardo-guimaraes,,Brazil,4/15/1982 (37),"6' 0"", 185 lbs",Leleco,"73""",Orthodox,MMA Masters,,Middleweight
nathan-coy,,USA,7/24/1978 (41),"6' 1"", 170 lbs",Soulforce,"69.5""",Southpaw,American Top Team,,Welterweight
kelly-faszholz,,USA,4/9/1985 (34),"5' 8"", 135 lbs",,"67""",Orthodox,Nor-Cal Fighting Alliance,,Women's Bantamweight
jarjis-danho,,,10/15/1983 (36),"6' 3"", 262 lbs",Man Mountain,"74.5""",Orthodox,Hammers Team,,Heavyweight
thibault-gouti,,France,2/27/1987 (32),"5' 10"", 155 lbs",GT,"72.5""",Orthodox,Jackson-Wink MMA,,Lightweight
martin-svensson,,Sweden,4/25/1985 (34),"6' 1"", 155 lbs",,"72.5""",,Frontier MMA,,Lightweight
david-teymur,,Sweden,5/1/1989 (30),"5' 9"", 155 lbs",Kid Dynamite,"73""",Southpaw,Allstars Training Center,,Lightweight
valentina-shevchenko,,Kyrgyzstan,3/7/1988 (31),"5' 5"", 125 lbs",Bullet,"66.5""",Southpaw,Tiger Muay Thai,,Women's Flyweight
teruto-ishihara,,Japan,7/23/1991 (28),"5' 7"", 135 lbs",Yashabo,"69""",Southpaw,Team Alpha Male,,Bantamweight
julian-erosa,,USA,7/31/1989 (30),"6' 1"", 145 lbs",Juicy J,"74.5""",Southpaw,Yakima MMA,,Featherweight
damien-brown,,Australia,12/25/1984 (34),"5' 10"", 155 lbs",Beatdown,"68.5""",Orthodox,Integrated MMA,,Lightweight
curtis-blaydes,,USA,2/18/1991 (28),"6' 4"", 251 lbs",Razor,"80""",Orthodox,Elevation Fight Team,,Heavyweight
francis-ngannou,,Cameroon,9/5/1986 (33),"6' 4"", 258 lbs",The Predator,"83""",Orthodox,MMA Factory,,Heavyweight
marcin-tybura,,Poland,11/9/1985 (33),"6' 3"", 257 lbs",Tybur,"78""",Orthodox,United Gym,,Heavyweight
cristina-stanciu,,Romania,3/29/1994 (25),"5' 4"", 115 lbs",,"64""",Orthodox,,,Women's Strawweight
damir-hadzovic,,Bosnia & Herzegovina,8/8/1986 (33),"5' 9"", 155 lbs",The Bosnian Bomber,"70""",Orthodox,Rumble Sports,,Lightweight
filip-pejic,,Croatia,7/21/1992 (27),"5' 11"", 135 lbs",Nitro,"70""",Orthodox,,,Bantamweight
cyril-asker,,France,12/24/1985 (33),"6' 0"", 250 lbs",Silverback,"74""",Orthodox,Bushido Academie,,Heavyweight
bojan-velickovic,,Serbia,12/18/1988 (30),"6' 0"", 170 lbs",Serbian Steel,"76""",Southpaw,Elevation Fight Team,,Welterweight
alessio-di-chirico,,Italy,12/12/1989 (29),"6' 0"", 185 lbs",Manzo,"74""",Orthodox,Gloria Fight Center,,Middleweight
darrell-horcher,,USA,7/28/1987 (32),"5' 10"", 155 lbs",The Saint,"70""",Southpaw,Unrivaled Athletics,,Lightweight
danny-roberts,,England,7/14/1987 (32),"6' 1"", 170 lbs",Hot Chocolate,"74""",Southpaw,Next Generation UK,,Welterweight
cody-east,,USA,6/29/1988 (31),"6' 3"", 245 lbs",The Freight Train,"74""",Orthodox,,,Heavyweight
anna-elmose,,Denmark,10/6/1984 (35),"5' 3"", 115 lbs",Panda,"65""",Orthodox,Rumble Sports,,Women's Strawweight
karolina-kowalkiewicz,,Poland,10/15/1985 (34),"5' 3"", 115 lbs",,"64""",Orthodox,Top Team Lodz,,Women's Strawweight
josh-emmett,,USA,3/4/1985 (34),"5' 6"", 145 lbs",,"70""",Orthodox,Team Alpha Male,,Featherweight
cris-cyborg,,Brazil,7/9/1985 (34),"5' 8"", 145 lbs",Cyborg,"68""",Orthodox,Chute Boxe,,Women's Featherweight
luan-chagas,,Brazil,6/17/1993 (26),"5' 11"", 170 lbs",Tarzan,"75""",Orthodox,Gile Ribeiro Team / Noguchi Team,,Welterweight
jordan-rinaldi,,USA,9/25/1987 (32),"5' 10"", 145 lbs",All Day,"72""",Orthodox,Team R.O.C.,,Lightweight
alberto-uda,,Brazil,8/8/1984 (35),"6' 3"", 185 lbs",,"77.5""",Orthodox,Nova Uniao,,Middleweight
adam-milstead,,USA,7/3/1987 (32),"6' 3"", 205 lbs",The Prototype,"76""",Orthodox,Pittsburgh Fight Club,,
henrique-da-silva,,Brazil,9/1/1989 (30),"6' 4"", 205 lbs",Frankenstein,"76""",Orthodox,Minhoca Top Team,,Light Heavyweight
dong-hyun-ma,,Korea,9/9/1988 (31),"5' 11"", 155 lbs",Maestro,"70.5""",Orthodox,Busan Team M.A.D.,,Lightweight
ion-cutelaba,,Moldova,12/14/1993 (25),"6' 1"", 205 lbs",The Hulk,"75""",Southpaw,WWFC Promotion,,Light Heavyweight
jocelyn-jones-lybarger,,USA,10/4/1985 (34),"5' 7"", 115 lbs",,"64.5""",Orthodox,,,Women's Strawweight
jonathan-meunier,,Canada,8/4/1987 (32),"6' 3"", 170 lbs",,"75""",Switch,TriStar Gym,,Welterweight
belal-muhammad,,USA,7/9/1988 (31),"5' 11"", 170 lbs",Remember the Name,"72""",Orthodox,Roufusport,,Welterweight
andrew-sanchez,,USA,4/8/1988 (31),"6' 1"", 185 lbs",El Dirte,"74""",Orthodox,TriStar Gym,,Middleweight
khalil-rountree-jr,,USA,2/26/1990 (29),"6' 1"", 205 lbs",The War Horse,"76.5""",Southpaw,Syndicate MMA,,Light Heavyweight
amanda-cooper,,USA,10/22/1991 (27),"5' 3"", 115 lbs",ABC,"64""",Switch,Scorpion Fighting System,,Women's Strawweight
tatiana-suarez,,USA,12/19/1990 (28),"5' 5"", 115 lbs",,"66""",Southpaw,Millennia MMA,,Women's Strawweight
will-brooks,,USA,10/8/1986 (33),"5' 11"", 155 lbs",,"72""",Orthodox,American Top Team,,Lightweight
josh-stansbury,,USA,11/19/1984 (34),"6' 2"", 205 lbs",The Sandman,"74""",,Team Impact,,Light Heavyweight
cory-hendricks,,USA,5/10/1988 (31),"6' 0"", 205 lbs",,,,Syndicate MMA,,Light Heavyweight
lando-vannata,,USA,3/14/1992 (27),"5' 9"", 155 lbs",Groovy,"71""",Orthodox,Jackson-Wink MMA,,Lightweight
katlyn-chookagian,,USA,12/28/1988 (30),"5' 9"", 125 lbs",Blonde Fighter,"68""",Orthodox,Renzo Gracie Jiu-Jitsu,,Women's Flyweight
eric-spicely,,USA,9/29/1986 (33),"6' 1"", 185 lbs",,"73""",Orthodox,TriStar Gym,,Middleweight
matthew-lopez,,USA,1/21/1987 (32),"5' 7"", 135 lbs",,"69""",Southpaw,Reign MMA,,Bantamweight
devin-clark,,USA,4/12/1990 (29),"6' 0"", 205 lbs",Brown Bear,"75""",Orthodox,Jackson-Wink MMA,,Light Heavyweight
bojan-mihajlovic,,Serbia,3/30/1980 (39),"5' 11"", 205 lbs",,"73""",Orthodox,Family Fight Team,,Heavyweight
jc-cottrell,,USA,11/4/1989 (29),"5' 10"", 155 lbs",,"71""",Orthodox,,,Lightweight
jason-knight,,USA,7/14/1992 (27),"6' 0"", 145 lbs",The Kid,"71""",Orthodox,Alan Belcher MMA Club,,Featherweight
luis-henrique,,Brazil,8/21/1993 (26),"6' 2"", 205 lbs",KLB,"74""",Orthodox,Rizzo RVT,,Heavyweight
dmitrii-smoliakov,,Russia,8/5/1982 (37),"6' 2"", 262 lbs",The Lifeguard,"74""",Switch,Baltic Challenge Team,,Heavyweight
hector-sandoval,,USA,7/19/1986 (33),"5' 2"", 125 lbs",Kid Alex,"64""",Orthodox,Team Alpha Male,,Flyweight
joe-gigliotti,,USA,8/13/1993 (26),"5' 11"", 185 lbs",,"69""",Orthodox,Power MMA Team,,Middleweight
danielle-taylor,,USA,10/25/1989 (29),"5' 0"", 115 lbs",Dynamite,"60""",Orthodox,Saekson Muay Thai,,Women's Strawweight
jason-novelli,,,,,,,,,,
chase-sherman,,USA,11/6/1989 (29),"6' 4"", 265 lbs",The Vanilla Gorilla,"78""",Orthodox,Jackson-Wink MMA,,Heavyweight
justin-ledet,,USA,9/28/1988 (31),"6' 4"", 205 lbs",El Blanco,"80""",Orthodox,Gracie Barra Katy,,Light Heavyweight
mike-perry,,USA,9/15/1991 (28),"5' 10"", 170 lbs",Platinum,"71""",Orthodox,American Top Team,,Welterweight
sabah-homasi,,USA,10/19/1988 (31),"6' 0"", 170 lbs",The Problem,"72""",Orthodox,American Top Team,,Welterweight
chris-avila,,USA,1/16/1993 (26),"5' 7"", 145 lbs",,"72""",Orthodox,,,Featherweight
